Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,TKN,Switzerland,,No,,,$0.5400,http://tokencard.io/,Ethereum,,$0.56,2.78%,United States,"$12,700,000",,tokencard,https://icowatchlist.com/ico/tokencard
,ECOB,Unknown,,No,,,$0.0100,http://www.ecobit.io/,Not Available,,$0.00,-73.21%,United States,"$4,500,000",,ecobit,https://icowatchlist.com/ico/ecobit
,BOS,Unknown,,No,https://github.com/owlchain/owlchain-core,,$0.0434,https://www.boscoin.io/,Not Available,,$0.02,-61.57%,United States,"$12,200,000",,boscoin,https://icowatchlist.com/ico/boscoin
,BCAP,United States,,No,,,$1.0000,http://blockchain.capital/,Not Available,,$0.89,-11.15%,United States,"$10,000,000",,blockchaincapital,https://icowatchlist.com/ico/blockchaincapital
,ZRC,Unknown,,No,,,$1.4000,https://zrcoin.io/,Waves,,$1.92,37.14%,United States,"$7,070,000",,zrcoin,https://icowatchlist.com/ico/zrcoin
,AE,Liechtenstein,,No,,,$0.1950,https://www.aeternity.com/,Blockchain,,$0.48,145.27%,United States,"$24,990,000",,aeternity,https://icowatchlist.com/ico/aeternity
,ETB,United Kingdom,,No,,,$0.8800,https://ico.ethbits.com/,Ethereum,,$0.00,-99.99%,United States,"$1,200,000",,ethbits,https://icowatchlist.com/ico/ethbits
,PPY,Unknown,,No,,,$4.6000,http://www.peerplays.com,Bitcoin Fork,,$0.73,-84.06%,United States,"$4,500,000",,peerplays,https://icowatchlist.com/ico/peerplays
,ANT,Spain,,No,https://github.com/aragon,,$0.9090,https://aragon.one/,Ethereum,,$0.51,-43.54%,United States,"$25,000,000",,aragon,https://icowatchlist.com/ico/aragon
,MCO,Unknown,,No,,,$2.6400,https://mona.co/,Ethereum,,$3.49,,United States,,,monaco,https://icowatchlist.com/ico/monaco
,SJCX,United States,,No,,,$0.2920,https://storj.io,Ethereum,,$0.20,-31.03%,United States,"$30,000,000",,storj,https://icowatchlist.com/ico/storj
,CVCOIN,Russian Federation,,No,,,$0.3862,https://ico.crypviser.net/,Bitcoin Fork,,$0.20,-47.90%,United States,"$3,870,000",,crypviser,https://icowatchlist.com/ico/crypviser
,QRL,Unknown,,No,https://github.com/theQRL,,$0.0640,https://theqrl.org/,Not Available,,$0.16,153.59%,United States,"$4,160,000",,quantumrl,https://icowatchlist.com/ico/quantumrl
,PING,Unknown,,No,,,$0.2778,https://cryptoping.tech/,Waves,,$0.03,-89.66%,United States,"$2,500,000",,cryptoping,https://icowatchlist.com/ico/cryptoping
,ADL,Unknown,,No,,,$0.0295,https://www.adelphoi.io/,Not Available,,$0.01,-61.10%,United States,"$1,050,000",,adelphoi,https://icowatchlist.com/ico/adelphoi
,VERI,United States,,No,,,$12.0000,http://veritas.veritaseum.com/,Ethereum,,$18.24,52.00%,United States,"$12,000,000",,veritaseum,https://icowatchlist.com/ico/veritaseum
,MYST,Lithuania,,No,https://github.com/MysteriumNetwork,,$0.8850,https://mysterium.network/,Ethereum,,$0.06,-93.75%,United States,"$14,400,000",,mysterium,https://icowatchlist.com/ico/mysterium
,EON,Unknown,,No,,,$0.0000,https://exscudo.com/,Blockchain,,,,United States,,,exscudo,https://icowatchlist.com/ico/exscudo
,PTOY,United States,,No,,,$0.1453,http://www.patientory.com/,Ethereum,,$0.02,-87.52%,United States,"$10,170,000",,patientory,https://icowatchlist.com/ico/patientory
,BAT,United States,,No,,,$0.3600,https://basicattentiontoken.org/index/,Ethereum,,$0.23,-35.95%,United States,"$36,000,000",,basicattentiontoken,https://icowatchlist.com/ico/basicattentiontoken
,WGR,Unknown,,No,,,$0.0550,http://www.wagerr.com/,Waves,,$0.08,36.62%,United States,"$6,380,000",,wagerr,https://icowatchlist.com/ico/wagerr
,NVST,Canada,,No,,,$0.2720,https://nvo.io/,Maidsafe,,$0.45,65.20%,United States,"$4,000,000",,nvo,https://icowatchlist.com/ico/nvo
,XID,United Kingdom,,No,,,$0.1887,http://www.sphre.co,Hyperledger,,$0.02,-88.07%,United States,"$5,110,000",,sphre,https://icowatchlist.com/ico/sphre
,DRP,Unknown,,No,,,$0.7607,https://www.dcorp.it/,Ethereum,,$0.18,-75.75%,United States,"$5,050,000",,dcorp,https://icowatchlist.com/ico/dcorp
,WTT,United States,,No,,,$1.0000,https://cryptonomos.com/,Ethereum,,$0.02,,United States,,,giga-watt,https://icowatchlist.com/ico/giga-watt
,VSM,Spain,,No,https://github.com/voiseit,,$1.7700,https://voise.it/,Not Available,,$2.58,45.76%,United States,"$1,360,000",,voise,https://icowatchlist.com/ico/voise
,OMG,Singapore,,No,,,$0.2742,https://www.omise.co/,Ethereum,,$1.77,544.43%,United States,"$25,000,000",,omisego,https://icowatchlist.com/ico/omisego
,BNT,Israel,,No,,,$3.8600,https://bancor.network/,Ethereum,,$0.63,-83.75%,United States,"$153,000,000",,bancor,https://icowatchlist.com/ico/bancor
,FYN,Singapore,,No,,,$0.1535,https://www.katalyse.io/,Ethereum,,$0.12,-18.70%,United States,"$1,150,000",,fundyourselfnow,https://icowatchlist.com/ico/fundyourselfnow
,MNX,Ukraine,,No,,,$12.4500,https://minexcoin.com/,Not Available,,$0.21,-98.34%,United States,"$745,940",,minexcoin,https://icowatchlist.com/ico/minexcoin
,CMP,Unknown,,No,,,$12.0000,https://compcoin.com/,Blockchain,,$5.64,,United States,,,compcoin,https://icowatchlist.com/ico/compcoin
