Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,ANT,Spain,,No,,$0.9090,Ethereum,,$0.51,-43.54%,United States,"$25,000,000",,aragon,https://icowatchlist.com/ico/aragon
,MCO,Unknown,,No,,$2.6400,Ethereum,,$3.49,,United States,,,monaco,https://icowatchlist.com/ico/monaco
,SJCX,United States,,No,,$0.2920,Ethereum,,$0.20,-31.03%,United States,"$30,000,000",,storj,https://icowatchlist.com/ico/storj
,CVCOIN,Russian Federation,,No,,$0.3862,Bitcoin Fork,,$0.20,-47.90%,United States,"$3,870,000",,crypviser,https://icowatchlist.com/ico/crypviser
,QRL,Unknown,,No,,$0.0640,Not Available,,$0.16,153.59%,United States,"$4,160,000",,quantumrl,https://icowatchlist.com/ico/quantumrl
,PING,Unknown,,No,,$0.2778,Waves,,$0.03,-89.66%,United States,"$2,500,000",,cryptoping,https://icowatchlist.com/ico/cryptoping
,ADL,Unknown,,No,,$0.0295,Not Available,,$0.01,-61.10%,United States,"$1,050,000",,adelphoi,https://icowatchlist.com/ico/adelphoi
,VERI,United States,,No,,$12.0000,Ethereum,,$18.24,52.00%,United States,"$12,000,000",,veritaseum,https://icowatchlist.com/ico/veritaseum
,MYST,Lithuania,,No,,$0.8850,Ethereum,,$0.06,-93.75%,United States,"$14,400,000",,mysterium,https://icowatchlist.com/ico/mysterium
,EON,Unknown,,No,,$0.0000,Blockchain,,,,United States,,,exscudo,https://icowatchlist.com/ico/exscudo
,PTOY,United States,,No,,$0.1453,Ethereum,,$0.02,-87.52%,United States,"$10,170,000",,patientory,https://icowatchlist.com/ico/patientory
,BAT,United States,,No,,$0.3600,Ethereum,,$0.23,-35.95%,United States,"$36,000,000",,basicattentiontoken,https://icowatchlist.com/ico/basicattentiontoken
,WGR,Unknown,,No,,$0.0550,Waves,,$0.08,36.62%,United States,"$6,380,000",,wagerr,https://icowatchlist.com/ico/wagerr
,NVST,Canada,,No,,$0.2720,Maidsafe,,$0.45,65.20%,United States,"$4,000,000",,nvo,https://icowatchlist.com/ico/nvo
,XID,United Kingdom,,No,,$0.1887,Hyperledger,,$0.02,-88.07%,United States,"$5,110,000",,sphre,https://icowatchlist.com/ico/sphre
,DRP,Unknown,,No,,$0.7607,Ethereum,,$0.18,-75.75%,United States,"$5,050,000",,dcorp,https://icowatchlist.com/ico/dcorp
,WTT,United States,,No,,$1.0000,Ethereum,,$0.02,,United States,,,giga-watt,https://icowatchlist.com/ico/giga-watt
,VSM,Spain,,No,,$1.7700,Not Available,,$2.58,45.76%,United States,"$1,360,000",,voise,https://icowatchlist.com/ico/voise
