Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers,description,end_time,image,price_usd,start_time,timezone,website_link
,NXC,Unknown,,No,,,$0.0100,http://beyond-the-void.net/,Ethereum,,,,United States,"$400,000",,0,0,0,beyondthevoid,0,https://icowatchlist.com/ico/beyondthevoid,0,Video Game in Real Time,2016-11-01 13:00:00,https://icowatchlist.com/logos/beyondthevoid.png,NA,2016-10-01 06:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/beyondthevoid
,DCT,Switzerland,,No,,,$0.1183,http://decent.ch/,Not Available,,$0.07,-39.53%,United States,"$4,130,000",,0,0,0,decent,0,https://icowatchlist.com/ico/decent,0,Decent is a content distribution project,2016-11-10 12:00:00,https://icowatchlist.com/logos/decent.png,0.09,2016-10-10 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/decent
,GNT,Poland,,No,https://github.com/golemfactory/golem,,$0.1040,https://golem.network/,Ethereum,,$0.08,-18.44%,United States,"$8,600,000",,195,9010,305,golem,2788,https://icowatchlist.com/ico/golem,275,The Golem platform enables personal computers to perform functions traditionally reserved for servers,2016-11-13 00:00:00,https://icowatchlist.com/logos/golem.png,0.07,2016-10-13 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/golem
,ARK,United States,,No,https://github.com/arkecosystem,,$0.0100,https://ark.io/,Blockchain,,$0.67,"6,615.76%",United States,"$998,000",,186,14427,1456,ark,1369,https://icowatchlist.com/ico/ark,406,The Ark project aims to make cryptocurrency adoption mainstream as quickly as possible,2016-12-12 00:00:00,https://icowatchlist.com/logos/ark.png,0.44,2016-11-07 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ark
,VSLICE,Unknown,,No,,,$0.0000,https://www.vdice.io/,Ethereum,,,,United States,,,0,0,0,vdiceio,0,https://icowatchlist.com/ico/vdiceio,0,Betting Game based on the Ethereum Blockchain,2016-12-15 02:00:00,https://icowatchlist.com/logos/vdiceio.png,NA,2016-11-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/vdiceio
,KMD,Unknown,,No,,,$0.0220,https://komodoplatform.com/,Blockchain,,$1.11,"4,925.24%",United States,"$1,980,000",,0,0,0,komodo,0,https://icowatchlist.com/ico/komodo,0,Komodo is a decentralized ICO platform,2016-12-16 12:00:00,https://icowatchlist.com/logos/komodo.png,1.19,2016-10-15 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/komodo
,Golos,Russian Federation,,No,,,$0.0100,https://golos.io/about,Not Available,,,,United States,"$462,000",,0,0,0,golos,0,https://icowatchlist.com/ico/golos,0,Golos is open source technology bringing the power of voice media to blockchain,2016-12-22 12:00:00,https://icowatchlist.com/logos/golos.png,NA,2016-11-22 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/golos
,CREA,Spain,,No,https://github.com/creativechain,,$0.0246,https://creativechain.org/,Blockchain,,$0.01,-53.01%,United States,"$300,000",,180,48973,27579,creativecoin,69,https://icowatchlist.com/ico/creativecoin,144,CreativeCoin for the registration and distribution of creative works and rights,2017-01-05 00:00:00,https://icowatchlist.com/logos/creativecoin.png,0.02,2017-03-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/creativecoin
,WINGS,Russian Federation,,No,,,$0.0260,https://wings.ai/,Rootstock,,$0.05,76.15%,United States,"$2,000,000",,0,0,0,wings,0,https://icowatchlist.com/ico/wings,0,A decentralized platform for the creation management and interlinking of DAOs,2017-01-06 00:00:00,https://icowatchlist.com/logos/wings.png,0.05,2016-11-18 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/wings
,TKS,United States,,No,,,$0.1622,http://cannabisrevolution.us/,Waves,,$0.31,90.44%,United States,"$81,100",,0,0,0,tokes,0,https://icowatchlist.com/ico/tokes,0,Tokes is a digital currency project for the legalization of the cannabis industry,2017-01-16 12:00:00,https://icowatchlist.com/logos/tokes.png,0.32,2016-12-12 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/tokes
