Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers,description,end_time,image,price_usd,start_time,timezone,website_link
,ARX,Australia,,No,https://github.com/AssistiveReality/ico,,$0.0375,https://aronline.io/,Ethereum,,,,United States,,,0,0,0,assistivereality,0,https://icowatchlist.com/ico/assistivereality,0,AIintegrated Augmented Reality applications and cloud service,2017-10-31 01:00:00,https://icowatchlist.com/logos/assistivereality.png,NA,2017-09-30 01:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/assistivereality
,BCOIN,United States,,No,,,$3.0000,http://www.bannercoin.com,Ethereum,,$0.33,,United States,,,0,0,0,bannercoin,0,https://icowatchlist.com/ico/bannercoin,0,Payment processing system for acceptance of digital currencies,2017-10-31 11:59:00,https://icowatchlist.com/logos/bannercoin.png,0.42,2017-09-15 00:00:00,UTC--7,https://api.icowatchlist.com/public/v1/url/bannercoin
,ATL,Russian Federation,,No,https://github.com/atlantplatform,,$0.5900,https://atlant.io/,Ethereum,,$0.02,-96.58%,United States,"$6,500,000",,110,22247,19705,atlant,39,https://icowatchlist.com/ico/atlant,69,Atlant aims to be the Worlds Real Estate Blockchain Platform,2017-10-31 12:00:00,https://icowatchlist.com/logos/atlant.png,0.02,2017-09-07 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/atlant
,ALDO,United Kingdom,,No,,,$0.9700,https://aldoin.com,Blockchain,,,,United States,,,0,0,0,aldoin,0,https://icowatchlist.com/ico/aldoin,0,Green Blockchain  Mining with monthly dividends,2017-10-31 23:59:59,https://icowatchlist.com/logos/aldoin.png,NA,2017-08-23 00:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/aldoin
,DCN,Netherlands,,No,https://github.com/Dentacoin/ ERC20- token/blob/master/contract%2 0(solidity)/Dentacoin,,$0.0000,https://dentacoin.com,Ethereum,,$0.00,,United States,,,0,0,0,dentacoin,0,https://icowatchlist.com/ico/dentacoin,0,Dentacoin The Blockchain Solution for the Global Dental Industry for improved service delivery,2017-11-01 14:00:00,https://icowatchlist.com/logos/dentacoin.png,0.00,2017-10-01 14:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/dentacoin
,ENO,Panama,,No,,,$1.6700,https://ethino.com,Ethereum,,$0.03,,United States,,,0,0,0,ethino,0,https://icowatchlist.com/ico/ethino,0,The first and only erc20 Ethereum casino,2017-11-02 14:00:00,https://icowatchlist.com/logos/ethino.png,0.04,2017-10-02 14:00:00,UTC--4,https://api.icowatchlist.com/public/v1/url/ethino
,RCN,Cayman Islands,,No,,,$0.0750,http://t.ripiocredit.network/icowatchlist,Ethereum,,$0.03,,United States,,,0,0,0,ripiocreditnetwork,0,https://icowatchlist.com/ico/ripiocreditnetwork,0,A global peertopeer credit network based on cosigned smart contracts,2017-11-05 00:00:00,https://icowatchlist.com/logos/ripiocreditnetwork.png,0.02,2017-10-24 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ripiocreditnetwork
,TKT,Russian Federation,,No,https://github.com/cryptoticket,,$0.0400,https://www.crypto.tickets,Ethereum,,,,United States,,,17,1925,2734,cryptotickets,13,https://icowatchlist.com/ico/cryptotickets,46,Blockchain platform for ticket systems and event organisers,2017-11-05 23:59:59,https://icowatchlist.com/logos/cryptotickets.png,NA,2017-10-05 22:00:00,UTC+3,https://api.icowatchlist.com/public/v1/url/cryptotickets
,UTK,Switzerland,,No,,,$0.0650,https://utrust.io/,Ethereum,,$0.03,-60.14%,United States,"$21,000,000",,0,0,0,utrust,0,https://icowatchlist.com/ico/utrust,0,The future of online payments,2017-11-08 13:00:00,https://icowatchlist.com/logos/utrust.png,0.04,2017-11-02 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/utrust
,STAR,Singapore,,No,,,$0.0000,https://starbase.co/,Ethereum,,$0.03,,United States,,,0,0,0,starbase,0,https://icowatchlist.com/ico/starbase,0,A Platform for issuing tokens and launch crowdfunding projects,2017-11-10 00:00:00,https://icowatchlist.com/logos/starbase.png,0.03,2017-09-18 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/starbase
,QVT,Unknown,,No,,,$0.0041,https://qvolta.com/,Ethereum,,$0.01,69.98%,United States,"$715,000","218,750,000",0,0,0,qvolta,0,https://icowatchlist.com/ico/qvolta,0,Qvolta will let people convert cryptocurrencies into the fiat currencies,2017-11-10 00:00:00,https://icowatchlist.com/logos/qvolta.png,0.01,2017-10-10 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/qvolta
,ALTC,Unknown,,No,,,$0.0000,https://altocar-ico.com/en,Waves,,$0.00,,United States,,,0,0,0,altocar,0,https://icowatchlist.com/ico/altocar,0,Taxi rides aggregator service on the wave blockchain platform,2017-11-10 10:00:00,https://icowatchlist.com/logos/altocar.png,0.00,2017-10-10 09:00:00,UTC+3,https://api.icowatchlist.com/public/v1/url/altocar
,HIVE,Unknown,,No,,,$0.6000,https://cryptohive.world,Ethereum,,,,United States,,,0,0,0,cryptohive,0,https://icowatchlist.com/ico/cryptohive,0,Trading bot advisor with smart algorithms to gather useful trading information globally,2017-11-11 00:00:00,https://icowatchlist.com/logos/cryptohive.png,NA,2017-10-10 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/cryptohive
,PBC,United States,,No,https://github.com/blockstack,,$0.0700,http://www.blockstack.com/,Blockchain,,$0.00,,United States,,,818,41829,67713,blockstack,7087,https://icowatchlist.com/ico/blockstack,1355,Blockstack has been designed as the new internet for decentralized apps,2017-11-13 00:00:00,https://icowatchlist.com/logos/blockstack.png,0.00,2017-11-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/blockstack
,GVT,Ireland,,No,https://github.com/GenesisVision,,$1.0000,https://genesis.vision,Ethereum,,$4.18,,United States,,,186,23211,11221,genesisvision,73,https://icowatchlist.com/ico/genesisvision,75,Genesis Vision is the platform for the private trust management market built on blockchain technology and smart contracts,2017-11-15 09:00:00,https://icowatchlist.com/logos/genesisvision.png,2.85,2017-09-15 09:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/genesisvision
,CDRT,United Kingdom,,No,,,$1.1800,https://crederoom.com,Ethereum,,$0.03,,United States,,,0,0,0,crederoom,0,https://icowatchlist.com/ico/crederoom,0,Lending company with modern analytical platform,2017-11-15 23:59:59,https://icowatchlist.com/logos/crederoom.png,0.03,2017-10-16 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/crederoom
,PRIX,Unknown,,No,https://github.com/Privatix,,$3.0000,https://privatix.io,Ethereum,,$0.55,-81.51%,United States,"$4,731,816",,418,4384,16,privatix,66,https://icowatchlist.com/ico/privatix,104,First Internet Bandwidth Marketplace powered by P2P VPN Network on Blockchain,2017-11-16 14:00:00,https://icowatchlist.com/logos/privatix.png,1.57,2017-10-19 14:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/privatix
,XCPO,India,,No,https://github.com/copicogithub1/copico,,$0.0065,http://copico.io/index.php,Bitcoin Fork,,$0.02,,United States,,,1,14,3,copico,3,https://icowatchlist.com/ico/copico,4,COPICO is the project powering the XCPO masternode Coin,2017-11-17 00:00:00,https://icowatchlist.com/logos/copico.png,0.03,2017-10-17 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/copico
,AMM,Myanmar,,No,https://github.com/micro-money/prime,,$1.0000,https://micromoney.io/,Ethereum,,$0.01,-99.22%,United States,"$10,500,000",,1,24,16,micromoney,18,https://icowatchlist.com/ico/micromoney,8,MicroMoney is an Open Source Credit  Big Data Bureau that connects new customers to all existing financial services,2017-11-18 00:00:00,https://icowatchlist.com/logos/micromoney.png,0.01,2017-10-18 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/micromoney
,CRN,Switzerland,,No,https://github.com/careerxon/code,,$0.2300,https://careerxon.com/,Ethereum,,,,United States,,,1,2,0,careerxon,0,https://icowatchlist.com/ico/careerxon,0,First Decentralized Career Oriented  Skills Training Platform,2017-11-18 00:00:00,https://icowatchlist.com/logos/careerxon.png,NA,2017-11-04 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/careerxon
,CASH,Unknown,,No,,,$0.0000,http://cashpokerpro.io,Ethereum,,$0.01,,United States,,,0,0,0,cashpoker,0,https://icowatchlist.com/ico/cashpoker,0,Modern online poker room based on blockchain technology,2017-11-18 18:00:00,https://icowatchlist.com/logos/cashpoker.png,0.01,2017-10-26 18:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/cashpoker
,HAW,Lithuania,,No,,,$0.0600,http://happiestatwork.eu,Ethereum,,,,United States,,,0,0,0,happiestatwork,0,https://icowatchlist.com/ico/happiestatwork,0,Attracting people to work in the clothing manufacturing industry,2017-11-20 13:00:00,https://icowatchlist.com/logos/happiestatwork.png,NA,2017-10-23 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/happiestatwork
,SYN,United States,,No,https://github.com/SynapseOrg,,$0.0450,https://synapse.ai/?utm_source=icowatchlist&utm_medium=ico&utm_campaign=icolists,Ethereum,,,,United States,,,3,18,10,synapse,24,https://icowatchlist.com/ico/synapse,17,Decentralized Data and AI Marketplace,2017-11-21 06:59:59,https://icowatchlist.com/logos/synapse.png,NA,2017-10-21 07:00:00,UTC--8,https://api.icowatchlist.com/public/v1/url/synapse
,WAND,Singapore,,No,,,$0.0900,http://wandx.co/,Ethereum,,$0.02,,United States,,,0,0,0,wandx,0,https://icowatchlist.com/ico/wandx,0,Decentralized financial instruments on ERC20 tokens,2017-11-21 19:30:00,https://icowatchlist.com/logos/wandx.png,0.02,2017-10-22 14:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/wandx
,BID,Australia,,No,https://github.com/Blockbid,,$1.0000,https://blockbid.com.au/,Ethereum,,,,United States,,,30,26560,4397,blockbid,5,https://icowatchlist.com/ico/blockbid,13,Blockbid is an ultrasecure exchange with the goal of facilitating the highest volume of trades for the most cryptocurrencies with a single login,2017-11-21 21:00:00,https://icowatchlist.com/logos/blockbid.png,NA,2017-10-21 21:00:00,UTC+11,https://api.icowatchlist.com/public/v1/url/blockbid
,CDL,Ireland,,No,https://github.com/confideal/ico-contracts,,$0.3000,https://confideal.io,Ethereum,,,,United States,,,0,0,0,confideal,0,https://icowatchlist.com/ico/confideal,0,Escrow Platform on The Ethereum Blockchain,2017-11-22 12:00:00,https://icowatchlist.com/logos/confideal.png,NA,2017-11-02 12:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/confideal
,SCF,Lithuania,,No,,,$0.0570,https://safechildfuture.com/,Ethereum,,,,United States,,,0,0,0,safechildfuture,0,https://icowatchlist.com/ico/safechildfuture,0,The child safety system that will be used to protect children on the roads and streets,2017-11-23 15:00:00,https://icowatchlist.com/logos/safechildfuture.png,NA,2017-10-23 15:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/safechildfuture
,MBT,Russian Federation,,No,,,$1.0000,https://multibot.io,Ethereum,,,,United States,,,0,0,0,multibot,0,https://icowatchlist.com/ico/multibot,0,A multifunctional multithreaded trading platform in the cloud,2017-11-24 03:00:00,https://icowatchlist.com/logos/multibot.png,NA,2017-10-20 03:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/multibot
,ZET,Germany,,No,,,$1.1600,http://zeus-token.io/eng/,Ethereum,,$0.01,,United States,,,0,0,0,zeus,0,https://icowatchlist.com/ico/zeus,0,First Ecomining in the World Recycling platform on the blockchain,2017-11-25 00:00:00,https://icowatchlist.com/logos/zeus.png,0.01,2017-10-25 00:00:00,UTC+2,https://api.icowatchlist.com/public/v1/url/zeus
,BON,United Kingdom,,No,,,$0.6000,https://bonpay.com/,Ethereum,,$0.00,,United States,,,0,0,0,bonpay,0,https://icowatchlist.com/ico/bonpay,0,Blockchain powered wallet and debit card for variety of cryptocurrencies Bonpay makes transactions as simple as possible,2017-11-28 14:00:00,https://icowatchlist.com/logos/bonpay.png,0.00,2017-10-31 14:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/bonpay
,WAX,Canada,,No,https://github.com/waxio,,$0.5000,https://wax.io/,Ethereum,,$0.06,,United States,,,2,11,9,wax,32,https://icowatchlist.com/ico/wax,23,A decentralized platform that enables anyone to operate a fully functioning virtual asset marketplace,2017-11-29 13:00:00,https://icowatchlist.com/logos/wax.png,0.06,2017-11-01 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/wax
,STORM,Unknown,"$50,000,000",No,,,$0.0100,http://stormtoken.com/,Ethereum,,$0.00,,United States,,"7,500,000,000",0,0,0,storm,0,https://icowatchlist.com/ico/storm,0,Creating the StorMarket  a decentralized microtask marketplace platform ,2017-11-30 00:00:00,https://icowatchlist.com/logos/storm.png,0.00,2017-11-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/storm
,PKT,Russian Federation,,No,,,$2.7000,https://playkey.io/,Ethereum,,$0.03,-98.90%,United States,"$10,512,361",,0,0,0,playkeyio,0,https://icowatchlist.com/ico/playkeyio,0,Decentralized Cloud Gaming Platform,2017-11-30 03:00:00,https://icowatchlist.com/logos/playkeyio.png,0.06,2017-11-01 03:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/playkeyio
,SENSE,United States,,No,,,$0.1000,https://t.sensetoken.com/icowatchlist,Ethereum,,,,United States,,,0,0,0,sense,0,https://icowatchlist.com/ico/sense,0,The Value for Human Capital Enabled by Smart Contracts,2017-11-30 09:00:00,https://icowatchlist.com/logos/sense.png,NA,2017-11-07 09:00:00,UTC+4,https://api.icowatchlist.com/public/v1/url/sense
,VZT,United States,"$15,000,000",Yes,,Yes,$0.5000,https://vezt.co/,Ethereum,,,,United States,"$1,380,644","50,000,000",0,0,0,vezt-ico,0,https://icowatchlist.com/ico/vezt-ico,0,Vezt lets music fans share ownership with artists in their favorite songs,2017-11-30 12:00:00,https://icowatchlist.com/logos/vezt-ico.png,NA,2017-11-03 12:00:00,UTC+7,https://api.icowatchlist.com/public/v1/url/vezt-ico
,COP,Lithuania,,No,https://github.com/CopPay-io,,$0.0150,https://coppay.io/,Ethereum,,$0.00,,United States,,,0,0,0,coppay,0,https://icowatchlist.com/ico/coppay,0,Multicryptocurrency payment platform for businesses consumers  community,2017-11-30 12:00:00,https://icowatchlist.com/logos/coppay.png,0.00,2017-10-30 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/coppay
,CCO,Armenia,,No,,,$0.3000,http://ccore.io,Ethereum,,$0.02,,United States,,,0,0,0,ccore,0,https://icowatchlist.com/ico/ccore,0,Your Crypto Payment Platform,2017-11-30 23:59:59,https://icowatchlist.com/logos/ccore.png,0.03,2017-11-09 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ccore
,PBL,Unknown,,No,https://github.com/PublicaIO,,$1.0000,https://publica.io/,Ethereum,,$0.02,-97.95%,United States,"$1,000,000",,12,111,3,publica,10,https://icowatchlist.com/ico/publica,31,Blockchain revolution for the publishing economy,2017-12-01 00:00:00,https://icowatchlist.com/logos/publica.png,0.03,2017-11-01 00:00:00,UTC+3,https://api.icowatchlist.com/public/v1/url/publica
,DMT,Ukraine,,No,https://github.com/suntechsoft/dmarket-smartcontract,,$0.4000,https://dmarket.com/,Blockchain,,,,United States,,,2,21,39,dmarket,88,https://icowatchlist.com/ico/dmarket,32,Dmarket  the first decentralized marketplace where you can trade all your ingame items globally,2017-12-01 12:00:00,https://icowatchlist.com/logos/dmarket.png,NA,2017-10-17 12:00:00,UTC--4,https://api.icowatchlist.com/public/v1/url/dmarket
,UCN,Singapore,,No,https://github.com/ImperialDigitalNZ/uccoin,,$0.2000,https://verifyunion.io,Ethereum,,,,United States,,,0,0,0,verifyunion,0,https://icowatchlist.com/ico/verifyunion,0,Decentralized Platform for Digital Identification and Social Scoring Engine,2017-12-03 03:59:00,https://icowatchlist.com/logos/verifyunion.png,NA,2017-10-03 03:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/verifyunion
,GEE,Lithuania,,No,https://github.com/GeensNPO,,$0.1800,https://geens.com,Ethereum,,,,United States,,,0,0,0,geens,0,https://icowatchlist.com/ico/geens,0,Privacy Focused Blockchain Timestamping Office,2017-12-07 10:00:00,https://icowatchlist.com/logos/geens.png,NA,2017-11-07 10:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/geens
,JBX,United States,,No,,,$0.2000,https://jboxcoin.org/,Ethereum,,,,United States,,,0,0,0,jboxcoin,0,https://icowatchlist.com/ico/jboxcoin,0,A Blockchain based decentralized video streaming platform ,2017-12-08 02:00:00,https://icowatchlist.com/logos/jboxcoin.png,NA,2017-11-08 02:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/jboxcoin
,DIMND,Belize,,No,,,$7.5000,http://dimnd.io,Ethereum,,,,United States,,,0,0,0,dimnd,0,https://icowatchlist.com/ico/dimnd,0,Digital Currency powered by Ethreum represented by Diamonds,2017-12-10 00:00:00,https://icowatchlist.com/logos/dimnd.png,NA,2017-11-07 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/dimnd
,PLM,Switzerland,,No,,,$3.0000,https://www.algo.land,Ethereum,,,,United States,,,0,0,0,algoland,0,https://icowatchlist.com/ico/algoland,0,The autonomous algorithmic trading blockchain fund,2017-12-10 23:59:59,https://icowatchlist.com/logos/algoland.png,NA,2017-11-01 00:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/algoland
,ATK,United States,,No,,,$1.0000,https://amltoken.com/,Blockchain,,,,United States,,,0,0,0,amlbitcoin,0,https://icowatchlist.com/ico/amlbitcoin,0,AML BitCoin is the first AML KYC compliant coin for legitimate financial use on a global scale,2017-12-15 00:00:00,https://icowatchlist.com/logos/amlbitcoin.png,NA,2017-10-06 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/amlbitcoin
,WRC,Czech Republic,,No,,,$0.1000,https://worldcore.com/,Ethereum,,$0.00,-95.97%,United States,"$25,560,000",,0,0,0,worldcore,0,https://icowatchlist.com/ico/worldcore,0,Modern Banking Solutions For The Digital World Tomorrow,2017-12-15 00:00:00,https://icowatchlist.com/logos/worldcore.png,0.01,2017-10-14 00:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/worldcore
,PHI,United States,,No,https://github.com/DelphiSystems,,$0.0000,https://delphi.systems/,Ethereum,,,,United States,,,0,0,0,delphisystems,0,https://icowatchlist.com/ico/delphisystems,0,Oracle Platform and Prediction Market,2017-12-15 12:00:00,https://icowatchlist.com/logos/delphisystems.png,NA,2017-11-01 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/delphisystems
,AIX,Unknown,,No,,,$3.0000,https://aigang.network/,Ethereum,,$0.01,,United States,,,0,0,0,aigang,0,https://icowatchlist.com/ico/aigang,0,Blockchain Protocol for Digital Insurance built for InternetofThings,2017-12-15 13:00:00,https://icowatchlist.com/logos/aigang.png,0.01,2017-11-15 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/aigang
,MED,Gibraltar,,No,https://github.com/Medibloc,,$0.0050,https://medibloc.org,Other,,$0.00,,United States,,,51,2605,69,medibloc,91,https://icowatchlist.com/ico/medibloc,147,The largest healthcare blockchain Medibloc will help champion the worlds shift to private information decentralization,2017-12-15 15:00:00,https://icowatchlist.com/logos/medibloc.png,0.00,2017-11-20 02:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/medibloc
,NGC,Germany,,No,,,$1.0000,https://www.nagaico.com,Ethereum,,$0.06,,United States,,,0,0,0,nagagroup,0,https://icowatchlist.com/ico/nagagroup,0,Smart Cryptocurrency for gaming and trading,2017-12-15 23:59:59,https://icowatchlist.com/logos/nagagroup.png,0.05,2017-12-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/nagagroup
,XRED,United Kingdom,,No,https://github.com/xredfoundation,,$1.0000,https://xred.co/,Ethereum,,,,United States,,,3,83,2,xred,0,https://icowatchlist.com/ico/xred,2,The First Cryptocurrency fund for real estate development and investment,2017-12-15 23:59:59,https://icowatchlist.com/logos/xred.png,NA,2017-11-01 00:00:01,UTC+0,https://api.icowatchlist.com/public/v1/url/xred
,VEGA,United States,,No,,,$0.4700,https://vegais.com/,Ethereum,,$0.00,-99.99%,United States,"$323,450",,0,0,0,vegaaisolutions,0,https://icowatchlist.com/ico/vegaaisolutions,0,Automated Intelligent Trading App Help Traders and Investors Get Good Returns On Their Investments,2017-12-16 00:00:00,https://icowatchlist.com/logos/vegaaisolutions.png,0.00,2017-11-24 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/vegaaisolutions
"BTC, ETH",VRP,Russian Federation,"$30,000,000",No,https://github.com/prosensetv,,$0.1000,http://prosense.tv/,Ethereum,,,,United States,,"720,000,000",5,4519,2856,prosenselive,0,https://icowatchlist.com/ico/prosenselive,3,ProsenseLive is the worlds first decentralized peertopeer livestreaming platform for the distribution of virtual reality content,2017-12-16 16:00:00,https://icowatchlist.com/logos/prosenselive.png,NA,2017-10-19 17:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/prosenselive
,NEU,Germany,,No,https://github.com/Neufund/ico-contracts,,$0.3600,https://neufund.org,Ethereum,,$0.12,,United States,,,8,1145,13,neufund,38,https://icowatchlist.com/ico/neufund,19,Neufund is a communityowned fundraising platform,2017-12-17 11:00:00,https://icowatchlist.com/logos/neufund.png,0.09,2017-11-17 11:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/neufund
,SPHTX,Switzerland,,No,,,$0.5100,https://www.sophiatx.com/,Blockchain,,$0.01,,United States,,,0,0,0,sophiatx,0,https://icowatchlist.com/ico/sophiatx,0,Blockchain PlatformMarketplace integrating business apps  solutions to collaborative environments,2017-12-17 14:00:00,https://icowatchlist.com/logos/sophiatx.png,0.01,2017-12-07 14:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/sophiatx
,,,,,,,,,,,,,,,,0,0,0,investy,0,https://icowatchlist.com/ico/investy,0,Investy is a platform for decentralized investments using Blockchain Technology,2017-12-18 00:00:00,https://icowatchlist.com/logos/investy.png,NA,2017-11-24 00:00:00,UTC+3,https://api.icowatchlist.com/public/v1/url/investy
,CHX,Liechtenstein,,No,https://github.com/chainium,,$0.0000,https://www.chainium.io,Ethereum,,,,United States,,,0,0,0,chainium,0,https://icowatchlist.com/ico/chainium,0,We are reinventing the global equity market,2017-12-18 12:00:00,https://icowatchlist.com/logos/chainium.png,NA,2017-11-27 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/chainium
,MAT,Unknown,,No,,,$3.0000,https://www.miniapps.pro/,Ethereum,,$0.02,,United States,,,0,0,0,miniappspro,0,https://icowatchlist.com/ico/miniappspro,0,AI and Blockchain Powered Chatbot Ecosystem,2017-12-19 00:00:00,https://icowatchlist.com/logos/miniappspro.png,0.02,2017-10-18 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/miniappspro
,DEAL,United States,,No,,,$15.0000,https://foreground.io,Ethereum,,,,United States,,,0,0,0,foreground,0,https://icowatchlist.com/ico/foreground,0,Foreground is an affiliate marketing solution for the traditional internet and the rapidly growing decentralized web,2017-12-19 00:00:00,https://icowatchlist.com/logos/foreground.png,NA,2017-11-28 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/foreground
,ICS,Russian Federation,,No,,,$250.0000,https://novacool.io/,Ethereum,,,,United States,,,0,0,0,novacool,0,https://icowatchlist.com/ico/novacool,0,The first immersion cooling system for PC,2017-12-19 12:00:00,https://icowatchlist.com/logos/novacool.png,NA,2017-09-28 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/novacool
,CNT,Russian Federation,,No,,,$0.8500,https://www.connectius.com,Ethereum,,$0.01,,United States,,,0,0,0,connectius,0,https://icowatchlist.com/ico/connectius,0,Connectius  a blockchain SaaS solution for ecommerce,2017-12-20 00:00:00,https://icowatchlist.com/logos/connectius.png,0.01,2017-11-20 23:59:59,UTC+3,https://api.icowatchlist.com/public/v1/url/connectius
,RST,Liechtenstein,,No,,,$30.0000,https://rega.life/,Ethereum,,,,United States,,,0,0,0,regarisksharing,0,https://icowatchlist.com/ico/regarisksharing,0,Aims to unlock the power of blockchain technology to revolutionize traditional insurance industry,2017-12-20 11:00:00,https://icowatchlist.com/logos/regarisksharing.png,NA,2017-10-15 10:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/regarisksharing
,PTC,United Kingdom,,No,,,$0.1800,http://www.propthereum.io,Ethereum,,$0.00,,United States,,,0,0,0,propthereum,0,https://icowatchlist.com/ico/propthereum,0,Tokens bought with Ethereum and distributed to participants backed by immoveable property,2017-12-20 12:00:00,https://icowatchlist.com/logos/propthereum.png,0.01,2017-11-20 11:59:59,UTC+0,https://api.icowatchlist.com/public/v1/url/propthereum
,ESC,Ukraine,,No,,,$0.1500,https://ethersport.io,Ethereum,,$0.00,,United States,,,0,0,0,ethersport,0,https://icowatchlist.com/ico/ethersport,0,Online Sports Lottery Platform with Provably Fair Results 15 Profit Share for Token Holders,2017-12-20 13:00:00,https://icowatchlist.com/logos/ethersport.png,0.01,2017-11-13 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ethersport
,IDH,Poland,,No,https://github.com/indahash,,$0.0670,https://indahash.com/ico,Ethereum,,$0.00,,United States,,,3,361,805,indahash,3,https://icowatchlist.com/ico/indahash,12,Indahash is tokenizing the influencer industry,2017-12-20 15:00:00,https://icowatchlist.com/logos/indahash.png,0.00,2017-11-29 15:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/indahash
,DEB,Lithuania,,No,https://github.com/debitum,,$0.1250,https://debitum.network,Ethereum,,$0.00,,United States,,,13,274,148,debitumnetwork,4,https://icowatchlist.com/ico/debitumnetwork,10,Borderless SME business financing,2017-12-21 15:00:00,https://icowatchlist.com/logos/debitumnetwork.png,0.00,2017-12-07 15:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/debitumnetwork
,,,,,,,,,,,,,,,,0,0,0,kevin,0,https://icowatchlist.com/ico/kevin,0,kevin is an innovative online banking service that allows to easily link and manage different crypto accounts and bank accounts,2017-12-22 00:00:00,https://icowatchlist.com/logos/kevin.png,NA,2017-10-17 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/kevin
BTC,DAC,Switzerland,"$87,700,000",No,https://github.com/Hdactech,,$0.8100,https://hdac.io/,Blockchain,,,,"United States, China, Singapore","$20,000,000","12,000,000,000",0,0,0,hdac,0,https://icowatchlist.com/ico/hdac,0,Hdac is the worlds 1st IoT Contract  Payment Platform based on Blockchain,2017-12-22 23:58:00,https://icowatchlist.com/logos/hdac.png,NA,2017-11-27 23:58:00,UTC+0,https://api.icowatchlist.com/public/v1/url/hdac
,HIG,Canada,,No,https://github.com/ethereumhigh/Ethereum-High,,$3.0000,https://www.ethereumhigh.org/,Ethereum,,,,United States,,,1,5,1,ethereumhigh,0,https://icowatchlist.com/ico/ethereumhigh,0,Ethereum High is a robust and featherlight cryptocurrency designed to hedge the risk of your portfolio,2017-12-24 23:59:59,https://icowatchlist.com/logos/ethereumhigh.png,NA,2017-11-20 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ethereumhigh
,BINARY,Unknown,,No,,,$1.3500,http://www.binary.com,Ethereum,,,,United States,,,0,0,0,binarycom,0,https://icowatchlist.com/ico/binarycom,0,The easiest way to get started in the financial market,2017-12-25 00:00:00,https://icowatchlist.com/logos/binarycom.png,NA,2017-11-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/binarycom
